run_id,experiment_name,protocol_name,status,start_time,duration_s,user,source_name,git_commit,git_dirty,git_branch,model_type,dataset_version,config_path,artifacts_dir,primary_metric_name,primary_metric_value,notes
retro_EXP-012,EXP-012_v12_plus_volume_spike_reentry,,COMPLETE,2026-02-07,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi/EXP-012,profit_factor,1.99,"Config A+RE chosen for bot: 289 trades, +4182 bps, PF 1.99. Confluence PF 6.07 but only 44 trades."
retro_EXP-013,EXP-013_counter_trend_bear_long_bull_short,,VALIDATED,2026-02-09,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi/EXP-013,profit_factor,3.00,"VALIDATED → V1.3. Bear LONG (RSI<10+EMA>=1.0): 71.4% win, PF 3.00. Bull SHORT: 40% win, PF 2.16."
retro_EXP-014,EXP-014_level_based_counter_trend_reentry,,VALIDATED,2026-02-07,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi/EXP-014,profit_factor,3.46,"VALIDATED → V1.3.2. Level-based re-entry: +352 bps, 9 new trades 7/9 winners. RSI saturates at extremes."
retro_L2-003-S1,direction_prediction,,COMPLETE,2026-02-28,0.0,raviranjan,,,,,analysis,feature_cache_v1,,experiments/layer2/L2-003,,,695 magnitude features ranked by GOOD/BAD separation.
retro_L2-003-S2,direction_prediction,direction_prediction_v1,FAILED,2026-02-28,0.0,raviranjan,,,,,LightGBM,feature_cache_v1,,experiments/layer2/L2-003,test_accuracy,0.505,"FAILED. 97.9% train, 50.5% OOS. Massive overfit."
retro_L2-003-S3,direction_prediction,direction_prediction_v1,DEPLOYED,2026-03-01,0.0,raviranjan,,,,,MLP,feature_cache_v1,,experiments/layer2/L2-003,test_confident_accuracy,0.575,DEPLOYED as V1.5. MLP 10->128->128->1. 57-58% confident acc.
retro_EXP-B002,sr_bounce_break,sr_bounce_break_v1,FAILED,2026-03-01,0.0,raviranjan,,,,,XGBoost,datasets_v1,,experiments/brain/EXP-B002,test_accuracy,0.507,"FAILED. 13 raw S/R features, 4-class. 50.7% OOS."
retro_SR-S1-S6,sr_bounce_break,sr_bounce_break_v1,FAILED,2026-03-15,0.0,raviranjan,,,,,MLP/LSTM/XGBoost,datasets_every_bar,,experiments/brain/SR,test_accuracy,0.509,FAILED. Stages 1-6 all ~50% OOS.
retro_SR-S8a,sr_bounce_break,sr_bounce_break_v1,COMPLETE,2026-04-01,0.0,raviranjan,,,,,MLP,datasets_every_bar,,experiments/brain/SR,test_accuracy,0.517,Separate paths 6 static. 51.7% OOS.
retro_SR-S8cB,sr_bounce_break,sr_bounce_break_v1,COMPLETE,2026-04-01,0.0,raviranjan,,,,,MLP,datasets_every_bar,,experiments/brain/SR,test_accuracy,0.520,Best S/R result. 14 static + MFE. 52.0% OOS.
retro_SR-S8c-hier,sr_bounce_break,sr_bounce_break_v1,COMPLETE,2026-04-01,0.0,raviranjan,,,,,MLP_hierarchical,datasets_every_bar,,experiments/brain/SR,test_accuracy,0.516,Hierarchical gated. 174 params. 51.6% OOS.
retro_L2-003-bugfix,direction_prediction,,COMPLETE,2026-03-01,0.0,raviranjan,,,,,data_fix,feature_cache_v1,,,,,SKIP mislabeled - 23K bars fixed.
retro_L2-003-lstm,direction_prediction,direction_prediction_v1,COMPLETE,2026-03-10,0.0,raviranjan,,,,,LSTM/GRU,feature_cache_v1,,,test_confident_accuracy,0.575,Memory doesnt help. Temporal signal only 1-2%. MLP > LSTM/GRU.
retro_L2-003-filter,direction_prediction,,VALIDATED,2026-03-15,0.0,raviranjan,,,,,filter_test,,,,ml_agrees_win_rate,0.629,"ML agrees=62.9% win, disagrees=48.9%. Filter works."
retro_L2-003-backtest,direction_prediction,,COMPLETE,2026-03-18,0.0,raviranjan,,,,,backtest,,,,total_bps_h96,6096,"Standalone: +6096 bps (H96), +3815 bps (H8)."
retro_L2-003-4E,direction_prediction,direction_prediction_v1,COMPLETE,2026-03-26,0.0,raviranjan,,,,,MLP,,,,test_confident_accuracy,0.571,4E: Asymmetry loss. 57.1%. Penalty doesnt create signal.
retro_L2-003-4A-loose,direction_prediction,direction_prediction_v1,COMPLETE,2026-03-26,0.0,raviranjan,,,,,MLP,,,,test_confident_accuracy,0.576,4A loose: Curriculum. 57.6%. Easy patterns unlearned with noise.
retro_L2-003-4A-strict,direction_prediction,direction_prediction_v1,COMPLETE,2026-03-26,0.0,raviranjan,,,,,MLP,,,,test_confident_accuracy,0.549,4A strict: Curriculum. 54.9%. Too few bars in Phase 1.
retro_L2-003-4C,direction_prediction,direction_prediction_v1,COMPLETE,2026-03-26,0.0,raviranjan,,,,,MLP,,,,test_confident_accuracy,0.565,4C: Separate encoders. 56.5%. Same input = same encoders.
retro_L2-003-4B-t05,direction_prediction,direction_prediction_v1,COMPLETE,2026-03-26,0.0,raviranjan,,,,,LSTM+Attention,,,,test_confident_accuracy,0.578,4B: Attention temp=0.5. 57.8%. Best balance 1814 bars.
retro_L2-003-4B-t005,direction_prediction,direction_prediction_v1,COMPLETE,2026-03-26,0.0,raviranjan,,,,,LSTM+Attention,,,,test_confident_accuracy,0.588,"4B: Attention temp=0.05. 58.8%. Best acc, only 816 bars."
retro_EXP-006,filter_optimization,,VALIDATED,2026-02-05,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi/EXP-006,profit_factor,2.47,"VALIDATED. ATR>=25 + EMA>=0.5% for LONG. V1.2: 202t, 56.9% win, +3250 bps."
retro_EXP-007,filter_optimization,,REJECTED,2026-02-05,0.0,raviranjan,,,,,backtest,,,,,,REJECTED. All 7 SHORT filter combos reduce profit. SHORT already robust.
retro_L1-EXP-001,risk_management_development,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1-EXP-001,final_wallet,82,"Fixed 0.001 BTC: $10->$82, 0% ruin, linear growth."
retro_L1-EXP-002,risk_management_development,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1-EXP-002,optimal_step,2.00-2.50,"Sharp cliff $1.75->$2.00. $2.00=$4.65M, $2.50=$909K."
retro_L1-EXP-003,risk_management_development,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1-EXP-003,quarter_kelly_step,1.89,Quarter-Kelly=$1.89/step matches empirical. Sharp cliff $1.80-$1.85.
retro_L1-EXP-004,risk_management_development,,VALIDATED,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1-EXP-004,oos_median,13800000,VALIDATED. Hybrid sizing: +200% vs fixed $2.00.
retro_L1-EXP-005,risk_management_development,,REJECTED,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1-EXP-005,oos_median,15898,REJECTED. Adaptive Kelly worse than fixed.
retro_L1-EXP-006,risk_management_development,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1-EXP-006,median_20x,40979,COMPLETE. 8-component system. Zero safety triggers.
retro_L1R-001,risk_management_validation,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1R-001,profit_factor,3.46,"Ground truth: 220t, 60% win, PF 3.46, +5267 bps."
retro_L1R-002,risk_management_validation,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1R-002,ruin_cliff,1.75-2.00,Sharp ruin cliff at $1.75-$2.00/step.
retro_L1R-003,risk_management_validation,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1R-003,oos_improvement,340-1350%,Weak signals lose money. Tier sizing +340-1350%.
retro_L1R-004,risk_management_validation,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1R-004,survival_zone,<$43-84,Edge cases. $100K BTC is sweet spot.
retro_L1R-005,risk_management_validation,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1R-005,ruin_reduction,6.8->0.9%,Safety stop at 60% liq distance. Pure insurance.
retro_L1R-006,risk_management_validation,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1R-006,,,Integrated risk calculator from L1R-001-005.
retro_L1R-007,risk_management_validation,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,risk_sim,,,experiments/layer1/L1R-007,,,Final sequential backtest with real dollar equity.
retro_EXIT-BL,exit_strategy_optimization,,BASELINE,2026-03-28,0.0,raviranjan,,,,,backtest,,,,profit_factor,3.46,"V1.3.2 baseline. 220t, 60% win, +5267 bps, PF 3.46."
retro_EXIT-1,exit_strategy_optimization,,FAILED,2026-03-28,0.0,raviranjan,,,,,backtest,,,,profit_factor,0.45,"FAILED. 1-min bar tighten. -1772 bps, PF 0.45."
retro_EXIT-2,exit_strategy_optimization,,FAILED,2026-03-28,0.0,raviranjan,,,,,backtest,,,,profit_factor,0.51,"FAILED. 1-min MFE tighten. -1545 bps, PF 0.51."
retro_EXIT-3,exit_strategy_optimization,,FAILED,2026-03-28,0.0,raviranjan,,,,,backtest,,,,profit_factor,0.95,"FAILED. Hybrid bar tighten. -133 bps, PF 0.95."
retro_EXIT-4,exit_strategy_optimization,,FAILED,2026-03-28,0.0,raviranjan,,,,,backtest,,,,profit_factor,0.94,"FAILED. Hybrid MFE tighten. -144 bps, PF 0.94."
retro_EXIT-5,exit_strategy_optimization,,VALIDATED,2026-03-29,0.0,raviranjan,,,,,backtest,,,,total_bps,34344,"VALIDATED. Early cut bar3<3 bar4<5. +34344 bps, PF 4.66."
retro_EXIT-7,exit_strategy_optimization,,VALIDATED,2026-03-29,0.0,raviranjan,,,,,backtest,,,,total_bps,34896,VALIDATED. BE lock floor 9g at MFE>=20. +34896 bps.
retro_EXIT-8,exit_strategy_optimization,,VALIDATED,2026-03-29,0.0,raviranjan,,,,,backtest,,,,profit_factor,4.68,"VALIDATED. Tighten bar4 6bps. +35499 bps, PF 4.68."
retro_EXIT-9,exit_strategy_optimization,,VALIDATED,2026-03-29,0.0,raviranjan,,,,,backtest,,,,profit_factor,4.72,"VALIDATED. Asymmetric L/S cuts. +35623 bps, PF 4.72. Best overall."
retro_EXIT-V2,exit_strategy_optimization,,FROZEN,2026-03-29,0.0,raviranjan,,,,,backtest,,,,profit_factor,4.66,"FROZEN. Exit V2 combined. +33062 bps, PF 4.66, DD -276. Not in code yet."
